央视,#genre#
CCTV5_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265005/ystenlive/index.m3u8
CCTV5_4M1080_百视通,http://168.138.9.147:50001/5000000010000016619/bestzb/index.m3u8
CCTV5_4M1080_易视腾,http://168.138.9.147:50001/1000000001000004794/ystenlive/index.m3u8
CCTV5+_8M1080_华数,http://168.138.9.147:50001/6000000001000015875/wasusyt/index.m3u8
CCTV5+_8M1080_易视腾,http://168.138.9.147:50001/1000000001000018504/ystenlive/index.m3u8
CCTV5+_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031127/bestzb/index.m3u8
CCTV5+_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265016/ystenlive/index.m3u8
CCTV5+_4M1080_易视腾,http://168.138.9.147:50001/1000000001000020505/ystenlive/index.m3u8
CCTV6_8M1080_华数,http://168.138.9.147:50001/6000000001000004574/wasusyt/index.m3u8
CCTV6_8M1080_易视腾,http://168.138.9.147:50001/1000000001000001737/ystenlive/index.m3u8
CCTV6_6.8M1080_百视通,http://168.138.9.147:50001/5000000004000008886/bestzb/index.m3u8
CCTV6_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265006/ystenlive/index.m3u8
CCTV6_4M1080_百视通,http://168.138.9.147:50001/5000000010000018433/bestzb/index.m3u8
CCTV6_4M1080_易视腾,http://168.138.9.147:50001/1000000001000016466/ystenlive/index.m3u8
CCTV7_8M1080_华数,http://168.138.9.147:50001/6000000001000009055/wasusyt/index.m3u8
CCTV7_8M1080_易视腾,http://168.138.9.147:50001/1000000001000024341/ystenlive/index.m3u8
CCTV7_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031104/bestzb/index.m3u8
CCTV7_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265007/ystenlive/index.m3u8
CCTV7_4M1080_易视腾,http://168.138.9.147:50001/1000000001000017218/ystenlive/index.m3u8
CCTV7_4M720_百视通,http://168.138.9.147:50001/5000000005000026715/bestzb/index.m3u8
CCTV8_8M1080_华数,http://168.138.9.147:50001/6000000001000001070/wasusyt/index.m3u8
CCTV8_8M1080_易视腾,http://168.138.9.147:50001/1000000001000031433/ystenlive/index.m3u8
CCTV8_6.8M1080_百视通,http://168.138.9.147:50001/5000000004000008888/bestzb/index.m3u8
CCTV8_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265008/ystenlive/index.m3u8
CCTV8_4M1080_百视通,http://168.138.9.147:50001/5000000010000018377/bestzb/index.m3u8
CCTV8_4M1080_易视腾,http://168.138.9.147:50001/1000000001000003736/ystenlive/index.m3u8
CCTV9_8M1080_华数,http://168.138.9.147:50001/6000000001000032162/wasusyt/index.m3u8
CCTV9_8M1080_易视腾,http://168.138.9.147:50001/1000000001000014583/ystenlive/index.m3u8
CCTV9_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265009/ystenlive/index.m3u8
CCTV9_4M1080_百视通,http://168.138.9.147:50001/5000000010000018384/bestzb/index.m3u8
CCTV9_4M1080_易视腾,http://168.138.9.147:50001/1000000001000028286/ystenlive/index.m3u8
CCTV10_8M1080_百视通,http://168.138.9.147:50001/5000000004000012827/bestzb/index.m3u8
CCTV10_8M1080_华数,http://168.138.9.147:50001/6000000001000031506/wasusyt/index.m3u8
CCTV10_8M1080_易视腾,http://168.138.9.147:50001/1000000001000023734/ystenlive/index.m3u8
CCTV10_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265010/ystenlive/index.m3u8
CCTV10_4M1080_百视通,http://168.138.9.147:50001/5000000010000016738/bestzb/index.m3u8
CCTV10_4M1080_易视腾,http://168.138.9.147:50001/1000000001000026367/ystenlive/index.m3u8
CCTV11_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031106/bestzb/index.m3u8
CCTV11_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265011/ystenlive/index.m3u8
CCTV11_4M1080_百视通,http://168.138.9.147:50001/5000000006000040011/bestzb/index.m3u8
CCTV11_4M1080_易视腾,http://168.138.9.147:50001/1000000002000019789/ystenlive/index.m3u8
CCTV12_8M1080_华数,http://168.138.9.147:50001/6000000001000022586/wasusyt/index.m3u8
CCTV12_8M1080_易视腾,http://168.138.9.147:50001/1000000001000032494/ystenlive/index.m3u8
CCTV12_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031107/bestzb/index.m3u8
CCTV12_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265012/ystenlive/index.m3u8
CCTV12_4M1080_易视腾,http://168.138.9.147:50001/1000000001000001640/ystenlive/index.m3u8
CCTV12_4M540_百视通,http://168.138.9.147:50001/5000000006000040012/bestzb/index.m3u8
CCTV13_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031108/bestzb/index.m3u8
CCTV13_4M1080_百视通,http://168.138.9.147:50001/5000000005000001827/bestzb/index.m3u8
CCTV13_4M1080_易视腾,http://168.138.9.147:50001/1000000002000021303/ystenlive/index.m3u8
CCTV14_8M1080_百视通,http://168.138.9.147:50001/5000000004000006673/bestzb/index.m3u8
CCTV14_8M1080_华数,http://168.138.9.147:50001/6000000001000013647/wasusyt/index.m3u8
CCTV14_8M1080_易视腾,http://168.138.9.147:50001/1000000001000008170/ystenlive/index.m3u8
CCTV14_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265013/ystenlive/index.m3u8
CCTV14_4M1080_百视通,http://168.138.9.147:50001/5000000010000023358/bestzb/index.m3u8
CCTV14_4M1080_易视腾,http://168.138.9.147:50001/1000000001000021349/ystenlive/index.m3u8
CCTV15_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031109/bestzb/index.m3u8
CCTV15_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265014/ystenlive/index.m3u8
CCTV15_4M1080_易视腾,http://168.138.9.147:50001/1000000002000008163/ystenlive/index.m3u8
CCTV16_8M1080_易视腾,http://168.138.9.147:50001/1000000006000233002/ystenlive/index.m3u8
CCTV16_6.8M1080_百视通,http://168.138.9.147:50001/5000000008000023253/bestzb/index.m3u8
CCTV16_4M1080_易视腾,http://168.138.9.147:50001/1000000006000233001/ystenlive/index.m3u8
CCTV17_8M1080_易视腾,http://168.138.9.147:50001/1000000006000268004/ystenlive/index.m3u8
